#username,port
ahp9,22435
ai49,22549
ai52,22392
ak363,22570
alg26,22382
amc50,21986
ao85,22682
apm29,22577
as566,22619
awc6,22538
bac4,23178
bji1,23389
bm240,22536
bm248,22671
cab38,22438
chn1,22532
ck250,22422
cltgs1,22516
cr268,22746
cwh6,22703
djn9,23338
dm300,22423
dmh21,22481
dr207,22747
dva1,22947
ejs35,22838
el202,23380
ena1,22425
esp6,22600
fb215,22400
gay1,22545
gw79,22406
hr65,22384
jas42,22398
jhdm1,22469
jm455,22602
js387,22763
js484,23113
jsh30,23108
jye1,23012
jz75,22054
kb267,22407
ked23,23275
kjb22,22572
klh20,22529
ks317,22424
kwt2,22740
lb298,22665
lh225,22431
ln60,22464
lr225,22717
mdas1,21993
mjg32,23127
mmc23,22519
mo74,22852
mr284,22416
msc9,22629
msmc1,22581
mv54,22525
mxjyd1,23266
ndlc1,23133
nmn2,22346
ok33,22428
oln1,23247
orsm1,22628
phn1,22467
plr5,22605
pt61,22711
rdn1,22833
rgb4,22460
rh223,22565
rk76,22492
sb409,22694
sf213,22477
sht2,23297
sje7,22451
sl312,22704
spem1,22551
st258,22666
sydk1,22557
tdj1,22377
tk82,23209
tko1,22528
tm246,22534
tristan,10608
ts256,22845
tt61,22661
vk60,22410
vkm1,22558
wnzn1,22440
yl247,22641
ynl1,23000
yo9,22448
yy62,22518
yz214,22514
zdp1,22575
